Goal,Issue,Hair Type,Hair Texture,Wash Hair,Treatments,Hair Behaviour,Scalp Feeling,Scalp Flaky,Oily Scalp,Dry Scalp,REC Shampoo MTH,REC Shampoo WK,REC Conditioner,REC Conditioner 2,REC Other ,DRYNESS,DAMAGE,SENSITIVITY,SEBUM Oil,DRY SCALP,FLAKES,Base_Name,Unique_ID
Growth,Thinning hair,Type 4c,Medium,Once a week,Colour / Dyed,"C- Easily absorbs water, requires more hair care products, loses moisture easily, prone to frizz and tangling, It dries quickly,takes on colour easily , Colour treatments fade quickly.",Itchy,Yes Rarely,My scalp gets dry not oily,1 - 2 Days,SheaMoistureJamaicanBlackCastorOilStrengthenAndRestoreShampoo,AsIAmDry&ItchyScalpCareOlive&TeaTreeOilCoWash,AsIAmCoconutCoWashCleansingConditioner,CamilleRoseCurlLoveMoistureMilk,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,91.63705969910676,51.46131815178097,63.21294276117904,12.719057028232344,66.73966404946832,35.72482359331915,Beverley A,Beverley A #2
Growth,Scalp dryness,Type 4c,Thick,Twice a month,No not me,"A -Repels moisture when wet,hair is also prone to build up, oils don’t penetrate quickly, often very shiny, resists penetration of chemicals.",None of the above,Yes Usually,My scalp gets dry not oily,1 - 2 Days,SheaMoistureAfricanBlackSoapBambooCharcoalDeepCleansingShampoo13OZ.,AfricanPrideMoistureMiracleAloe&CoconutWaterPreShampoo,CamilleRoseCurlLoveMoistureMilk,KeraCareHumectoCrèmeConditioner234g,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,97.75136363127535,61.21923107375065,0.0,0.16753305170866722,79.18932506335167,0.20010304865922315,Tara G,Tara G #3
Growth,Thinning hair,Type 4c,Medium,About once a month,No not me,"C- Easily absorbs water, requires more hair care products, loses moisture easily, prone to frizz and tangling, It dries quickly,takes on colour easily , Colour treatments fade quickly.",None of the above,No Not Me,My scalp gets dry not oily,My scalp gets oily not dry,SheaMoistureAfricanBlackSoapBambooCharcoalDeepCleansingShampoo13OZ.,AfricanPrideMoistureMiracleHoney&CoconutOilShampoo,SheaMoistureJamaicanBlackCastorOilStrengthen/GrowAndRestoreLeaveInConditioner16Oz,CamilleRoseCurlLoveMoistureMilk,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,41.936722248636706,1.1296448438604596,4.769050363287701,9.238399511919358,56.260223399032036,0.0,Nadine,Nadine #2
Moisture retention,Scalp dryness,Type 4c,Thick,About once a month,No not me,"A -Repels moisture when wet,hair is also prone to build up, oils don’t penetrate quickly, often very shiny, resists penetration of chemicals.",Itchy & painful,Yes Rarely,3 - 4 Days,1 - 2 Days,SheaMoistureAfricanBlackSoapBambooCharcoalDeepCleansingShampoo13OZ.,SheaMoistureOrganicRawSheaButterMoistureRetentionShampoo,CamilleRoseNaturalsMoroccanPearConditioningCustardForLowPorosity,FaithInNatureNaturalAvocadoConditionerNourishingVegan,MielleOrganicsWhitePeonyLeaveinConditioner8Oz236Ml,26.909157630171073,0.0,0.0,12.286662251609515,16.94855558403421,0.0,Nomfundo,Nomfundo #2
Growth,Thinning hair,Type 4b,Medium,Once a week,Colour / Dyed,"C- Easily absorbs water, requires more hair care products, loses moisture easily, prone to frizz and tangling, It dries quickly,takes on colour easily , Colour treatments fade quickly.",Itchy,No Not Me,My scalp gets dry not oily,3 - 5 Days,SheaMoistureAfricanBlackSoapBambooCharcoalDeepCleansingShampoo13OZ.,AsIAmDry&ItchyScalpCareOlive&TeaTreeOilCoWash,AsIAmCoconutCoWashCleansingConditioner,FaithInNatureNaturalAvocadoConditionerNourishingVegan,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,59.23621905659111,51.836130531842024,51.6087378478561,34.59087224899217,43.93426708659979,0.0,Caz Joseph,Caz Joseph #1
Moisture retention,Scalp dryness,Type 4c,Medium,Once a week,No not me,"B - Its bouncy and elastic, not prone to breakage or brittle, requires very little maintenance, easily accepts applied moisture, hold styles well, accepts color well and evenly.",Itchy & painful,Yes Rarely,My scalp gets dry not oily,1 - 2 Days,SheaMoistureAfricanBlackSoapBambooCharcoalDeepCleansingShampoo13OZ.,AfricanPrideMoistureMiracleAloe&CoconutWaterPreShampoo,SheaMoistureRawSheaButterExtraMoistureDetangler,MielleOrganicsWhitePeonyLeaveinConditioner8Oz236Ml,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,10.202708895518713,13.558364835015505,3.7034302989719197,5.146220459032017,0.0,6.055175704337059,Nomfundo,Nomfundo #3
Moisture retention,Thinning hair,Type 4b,Medium,Once a week,No not me,"C- Easily absorbs water, requires more hair care products, loses moisture easily, prone to frizz and tangling, It dries quickly,takes on colour easily , Colour treatments fade quickly.",None of the above,No Not Me,3 - 4 Days,3 - 5 Days,SheaMoistureAfricanBlackSoapBambooCharcoalDeepCleansingShampoo13OZ.,DesignEssentialsOatProtein&HennaFullerThickerStrongerDeepCleansingShampoo,SheaMoistureRawSheaButterRestorativeConditioner,MielleOrganicsWhitePeonyLeaveinConditioner8Oz236Ml,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,19.056512578859095,0.0,0.0,0.0,25.455379016274364,0.0,Yinka,Yinka #3
Healthy Hair,Split ends / hair breakage,Type 4c,Thin or Fine,About once a month,No not me,"C- Easily absorbs water, requires more hair care products, loses moisture easily, prone to frizz and tangling, It dries quickly,takes on colour easily , Colour treatments fade quickly.",None of the above,No Not Me,My scalp gets dry not oily,Within hours,SheaMoistureAfricanBlackSoapBambooCharcoalDeepCleansingShampoo13OZ.,SheaMoistureOrganicRawSheaButterMoistureRetentionShampoo,SheaMoistureRawSheaButterRestorativeConditioner,CamilleRoseCurlLoveMoistureMilk,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,10.23717219443501,0.0,0.0,0.0,0.0,1.6284433367882858,Tara G,Tara G #4
Healthy Hair,Split ends / hair breakage,Type 4c,Medium,About once a month,No not me,"B - Its bouncy and elastic, not prone to breakage or brittle, requires very little maintenance, easily accepts applied moisture, hold styles well, accepts color well and evenly.",None of the above,No Not Me,5 + Days,Within hours,SheaMoistureAfricanBlackSoapBambooCharcoalDeepCleansingShampoo13OZ.,AfricanPrideMoistureMiracleHoney&CoconutOilShampoo,SheaMoistureJamaicanBlackCastorOilStrengthen/GrowAndRestoreLeaveInConditioner16Oz,CamilleRoseCurlLoveMoistureMilk,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,49.169220705164065,2.5579373130892615,0.0,0.0,11.855222034971392,4.888446230776433,Beverley A,Beverley A #3
Growth,Not me,Type 4a,Medium,Once a week,No not me,"C- Easily absorbs water, requires more hair care products, loses moisture easily, prone to frizz and tangling, It dries quickly,takes on colour easily , Colour treatments fade quickly.",Sensitive,Yes Rarely,My scalp gets dry not oily,3 - 5 Days,SheaMoistureAfricanBlackSoapBambooCharcoalDeepCleansingShampoo13OZ.,AfricanPrideMoistureMiracleAloe&CoconutWaterPreShampoo,AsIAmCoconutCoWashCleansingConditioner,CamilleRoseCurlLoveMoistureMilk,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,16.09994640240083,27.766202137426614,0.31565346359681534,111.96868785955952,47.667913098441986,78.29660732419904,Ron,Ron #3
Moisture retention,Not me,Type 4b,Medium,About once a month,No not me,"A -Repels moisture when wet,hair is also prone to build up, oils don’t penetrate quickly, often very shiny, resists penetration of chemicals.",Sensitive,Yes Rarely,1 - 2 Days,1 - 2 Days,SheaMoistureAfricanBlackSoapBambooCharcoalDeepCleansingShampoo13OZ.,AfricanPrideMoistureMiracleHoney&CoconutOilShampoo,SheaMoistureJamaicanBlackCastorOilStrengthen/GrowAndRestoreLeaveInConditioner16Oz,AsIAmLeaveInConditioner237ml/8FlOz.,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,0.0,0.0,11.006529981786754,0.0,0.0,6.158130977863401,Tara G,Tara G #5
Healthy Hair,Thinning hair,Type 4b,Thin or Fine,More than once a week,No not me,"C- Easily absorbs water, requires more hair care products, loses moisture easily, prone to frizz and tangling, It dries quickly,takes on colour easily , Colour treatments fade quickly.",None of the above,No Not Me,1 - 2 Days,3 - 5 Days,SheaMoistureAfricanBlackSoapBambooCharcoalDeepCleansingShampoo13OZ.,AfricanPrideMoistureMiracleHoney&CoconutOilShampoo,SheaMoistureJamaicanBlackCastorOilStrengthen/GrowAndRestoreLeaveInConditioner16Oz,CamilleRoseCurlLoveMoistureMilk,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,36.55001218428799,8.184302728271836,12.837962089801097,10.393596934979024,33.26785445326897,5.0157868088685715,Caz Jo,Caz Jo #2
Healthy Hair,Thinning hair,Type 4c,Medium,About once a month,Colour / Dyed,"A -Repels moisture when wet,hair is also prone to build up, oils don’t penetrate quickly, often very shiny, resists penetration of chemicals.",Itchy,Yes Rarely,My scalp gets dry not oily,1 - 2 Days,SheaMoistureJamaicanBlackCastorOilStrengthenAndRestoreShampoo,TginMoistureRichSulfateFreeShampooForNaturalHair,AsIAmCoconutCoWashCleansingConditioner,KeraCareHumectoCrèmeConditioner234g,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,111.50448089275275,35.79318707646545,48.742039076283554,18.37813775766301,68.66887824411928,89.68990732181354,Sylvia,Sylvia #1
Moisture retention,Not me,Type 4b,Medium,Once a week,No not me,"A -Repels moisture when wet,hair is also prone to build up, oils don’t penetrate quickly, often very shiny, resists penetration of chemicals.",Itchy & painful,Yes Rarely,My scalp gets dry not oily,My scalp gets oily not dry,SheaMoistureAfricanBlackSoapBambooCharcoalDeepCleansingShampoo13OZ.,TginMoistureRichSulfateFreeShampooForNaturalHair,SheaMoistureManukaHoney&MafuraOilConditioner,CamilleRoseCurlLoveMoistureMilk,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,0.7210569706782728,0.0,9.681641924563062,10.752251425746177,0.0,1.6087592512398268,Yinka,Yinka #4
Moisture retention,Split ends / hair breakage,Type 4b,Medium,About once a month,No not me,"B - Its bouncy and elastic, not prone to breakage or brittle, requires very little maintenance, easily accepts applied moisture, hold styles well, accepts color well and evenly.",Itchy & painful,Yes Usually,My scalp gets dry not oily,3 - 5 Days,SheaMoistureAfricanBlackSoapBambooCharcoalDeepCleansingShampoo13OZ.,AsIAmDry&ItchyScalpCareOlive&TeaTreeOilCoWash,SheaMoistureJamaicanBlackCastorOilStrengthen/GrowAndRestoreLeaveInConditioner16Oz,CamilleRoseCurlLoveMoistureMilk,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,0.0,0.0,4.713811909766262,0.0,17.444934491966606,0.0,Caz Jo,Caz Jo #3
Growth,Thinning hair,Type 4a,Medium,About once a month,No not me,"B - Its bouncy and elastic, not prone to breakage or brittle, requires very little maintenance, easily accepts applied moisture, hold styles well, accepts color well and evenly.",None of the above,No Not Me,5 + Days,Within hours,SheaMoistureAfricanBlackSoapBambooCharcoalDeepCleansingShampoo13OZ.,AfricanPrideMoistureMiracleHoney&CoconutOilShampoo,CamilleRoseCurlLoveMoistureMilk,AsIAmLeaveInConditioner237ml/8FlOz.,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,30.190087980029293,15.514209657291095,5.470032548775344,0.0,0.0,0.0,Evelyn E,Evelyn E #1
Moisture retention,Scalp dryness,Type 4c,Medium,About once a month,No not me,"A -Repels moisture when wet,hair is also prone to build up, oils don’t penetrate quickly, often very shiny, resists penetration of chemicals.",None of the above,Yes Rarely,1 - 2 Days,1 - 2 Days,SheaMoistureAfricanBlackSoapBambooCharcoalDeepCleansingShampoo13OZ.,AfricanPrideMoistureMiracleHoney&CoconutOilShampoo,SheaMoistureJamaicanBlackCastorOilStrengthen/GrowAndRestoreLeaveInConditioner16Oz,GiovanniDirectLeaveInConditioner–HighRated,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,30.97699375332468,0.0,0.21777425040600445,61.253101729464966,10.438279308039256,0.6278676090172599,Gina,Gina #1
Moisture retention,Not me,Type 4c,Thin or Fine,About once a month,No not me,"A -Repels moisture when wet,hair is also prone to build up, oils don’t penetrate quickly, often very shiny, resists penetration of chemicals.",None of the above,Yes Rarely,My scalp gets dry not oily,1 - 2 Days,SheaMoistureAfricanBlackSoapBambooCharcoalDeepCleansingShampoo13OZ.,TginMoistureRichSulfateFreeShampooForNaturalHair,GiovanniDirectLeaveInConditioner–HighRated,AsIAmLeaveInConditioner237ml/8FlOz.,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,13.58206395587083,0.0,12.010200288461782,8.568358478247712,11.001756593675763,5.915104847334348,Eugenie B,Eugenie B #1
Healthy Hair,Scalp dryness,Type 4b,Medium,About once a month,No not me,"B - Its bouncy and elastic, not prone to breakage or brittle, requires very little maintenance, easily accepts applied moisture, hold styles well, accepts color well and evenly.",Itchy,No Not Me,My scalp gets dry not oily,3 - 5 Days,SheaMoistureAfricanBlackSoapBambooCharcoalDeepCleansingShampoo13OZ.,TginMoistureRichSulfateFreeShampooForNaturalHair,SheaMoistureRawSheaButterRestorativeConditioner,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,73.02381139547897,8.517751877724013,11.344161358505705,11.098491149890226,80.49499639220582,38.09358620094665,Nadine,Nadine #3
Healthy Hair,Split ends / hair breakage,Type 4b,Thin or Fine,Once a week,No not me,"C- Easily absorbs water, requires more hair care products, loses moisture easily, prone to frizz and tangling, It dries quickly,takes on colour easily , Colour treatments fade quickly.",None of the above,No Not Me,5 + Days,Within hours,SheaMoistureAfricanBlackSoapBambooCharcoalDeepCleansingShampoo13OZ.,AfricanPrideMoistureMiracleHoney&CoconutOilShampoo,SheaMoistureJamaicanBlackCastorOilStrengthen/GrowAndRestoreLeaveInConditioner16Oz,CamilleRoseCurlLoveMoistureMilk,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,0.0,3.7069196727224645,0.0,14.61004019769706,2.0645311353624787,0.0,Melanie,Melanie #2
Moisture retention,Thinning hair,Type 4c,Medium,About once a month,No not me,"B - Its bouncy and elastic, not prone to breakage or brittle, requires very little maintenance, easily accepts applied moisture, hold styles well, accepts color well and evenly.",Sensitive,Yes Rarely,My scalp gets dry not oily,1 - 2 Days,SheaMoistureAfricanBlackSoapBambooCharcoalDeepCleansingShampoo13OZ.,TginMoistureRichSulfateFreeShampooForNaturalHair,AsIAmLeaveInConditioner237ml/8FlOz.,MielleOrganicsMongongoOilHydratingConditioner–NOProtein,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,78.2749933838198,41.02471755965871,0.0,0.0,54.67412969560946,0.0,Samantha M,Samantha M #2
Moisture retention,Not me,Type 4c,Thin or Fine,About once a month,No not me,"C- Easily absorbs water, requires more hair care products, loses moisture easily, prone to frizz and tangling, It dries quickly,takes on colour easily , Colour treatments fade quickly.",Sensitive,No Not Me,My scalp gets dry not oily,Within hours,SheaMoistureAfricanBlackSoapBambooCharcoalDeepCleansingShampoo13OZ.,AfricanPrideMoistureMiracleHoney&CoconutOilShampoo,SheaMoistureJamaicanBlackCastorOilStrengthen/GrowAndRestoreLeaveInConditioner16Oz,CamilleRoseCurlLoveMoistureMilk,AsIAmDoubleButterCreamRichDailyMoisturizer227g/8Oz.,45.02375780057223,0.0,0.0,9.714821914405276,32.21786692172081,0.0,Yetunde O,Yetunde O #1
